node_1|node_2|edge|chunk_id
boleslaus|east francian kingdom|Accepted vassal status after initial conflict with Otto I|e49983689c3747d6aa1c67865872dcbc
otto i's army|bohemian troops|Initially achieved success against Boleslaus, but eventually lost discipline and suffered defeat|e49983689c3747d6aa1c67865872dcbc
otto i|civil wars|Prevented from dealing with Bohemia due to civil war engagements|e49983689c3747d6aa1c67865872dcbc
boleslaus's castle|otto i's army|Where Boleslaus accepted vassal status and later aided Otto in battle|e49983689c3747d6aa1c67865872dcbc
lechfeld|battle involving otto i and boleslaus|Location of the decisive battle between Otto's forces, including vassal troops from Bohemia, and Boleslaus|e49983689c3747d6aa1c67865872dcbc
bohemian dukes|kings and emperors|Bohemian dukes could be called to provide military assistance, unlike the Kings and emperors who rarely travelled to Prague.|e804de820f2845ac90af0162a14c0be7
emperor election|military assistance from bohemian dukes|Bohemian dukes were involved in the Emperor's election process through military support.|e804de820f2845ac90af0162a14c0be7
justice and taxation responsibility|bohemian ruler|The sole responsibility of the Bohemian ruler was justice, taxation, building of castles and cities.|e804de820f2845ac90af0162a14c0be7
archbishop of mainz|bishop of prague|The Bishop of Prague became a direct report to the Archbishop of Mainz.|e804de820f2845ac90af0162a14c0be7
good king wenceslaus|spirituality|Boleslaus embraced Latin Christianity and sponsored the cult of his murdered brother, known as Good King Wenceslaus.|e804de820f2845ac90af0162a14c0be7
slave trade|economic model of bohemia|Bohemia flourished under Boleslaus due to its location, which made it a main entrepot in the slave trade.|e804de820f2845ac90af0162a14c0be7
duke boleslaus ii|economic model ending|The economic model of Bohemia ended under Duke Boleslaus II due to military consolidation by neighbouring entities.|e804de820f2845ac90af0162a14c0be7
poland|neighbouring entity|Duke Boleslaus's economic model came to an end mainly because of the rising military might of his neighbours, including Poland.|e804de820f2845ac90af0162a14c0be7
ansgar|archbishop of hamburg|was elevated to the newly created archbishopric of Hamburg|027fea41a3074ae682a1ebb893dfbdef
hamburg|archbishopric of hamburg|incorporated into|027fea41a3074ae682a1ebb893dfbdef
ansgar|scandinavia conversion task|was given the task to convert all of Scandinavia|027fea41a3074ae682a1ebb893dfbdef
ansgar|right to create new bishoprics in heathen lands|was given the right to create new bishoprics in the heathen lands|027fea41a3074ae682a1ebb893dfbdef
danish attack on hamburg|hamburg city, wooden churches and library|burned down the whole new city, its wooden churches and its newly established library|027fea41a3074ae682a1ebb893dfbdef
friesland (modern-day holland)|under danish control|came under Danish control|027fea41a3074ae682a1ebb893dfbdef
rhine delta bases|danish raids along rhine|Friesland, i.e., modern day Holland came under Danish control; from their bases in the Rhine delta|027fea41a3074ae682a1ebb893dfbdef
charlemagne's capital|aachen|ultimately attacked by the Danes|027fea41a3074ae682a1ebb893dfbdef
verdun treaty|empire split into three parts|more stable situation that helped Ansgar resume his missionary activity in Denmark and Sweden|027fea41a3074ae682a1ebb893dfbdef
horik the elder|missionary bishoprics in schleswig|allowed Horik the elder to set up missionary bishoprics|6e03e9439c7c4ff78245a549d9d9ea76
ansgar|missionaries|Ansgar was part of missionary group in Schleswig|6e03e9439c7c4ff78245a549d9d9ea76
successor|threw the missionaries out again|Successor reversed decision to support missionaries|6e03e9439c7c4ff78245a549d9d9ea76
christianity|scandinavia|Gradually penetrated deeper into Scandinavia due to Christianity|6e03e9439c7c4ff78245a549d9d9ea76
rollo|normandy or parts of normandy|Given territories in exchange for baptism and oath of fealty|6e03e9439c7c4ff78245a549d9d9ea76
william the conqueror|unknown action|Later became famous (details unknown)|6e03e9439c7c4ff78245a549d9d9ea76
vikings|christian slaves performing religious rites|Captured and influenced by Christian communities|6e03e9439c7c4ff78245a549d9d9ea76
ansgar and his missionaries|existing christian communities|Found upon arrival in areas with existing Christian communities|6e03e9439c7c4ff78245a549d9d9ea76
religious conversion of vikings|material considerations|Conversion had material motivations rather than deep religious conviction|6e03e9439c7c4ff78245a549d9d9ea76
viking|worship of old gods|The Vikings maintained their worship of old gods in Bergen, Norway during the late 13th century.|7d048ddf5b6a4cadba410fa332ed505e
christianity|viking lifestyle|Despite encroaching Christianity, the Vikings maintained their Viking lifestyle in Norway and abroad.|7d048ddf5b6a4cadba410fa332ed505e
denmark|gorm the old|Before Gorm the Old's reign from 936 to 958, Denmark did not have a central authority with various kings.|7d048ddf5b6a4cadba410fa332ed505e
gorm the old|territory expansion in denmark|Gorm the Old managed to expand his territory over time, eventually leading to a more stable situation in Denmark.|7d048ddf5b6a4cadba410fa332ed505e
harald bluetooth|conquest of all of denmark|Harald Bluetooth is understood to have completed the conquest of all of Denmark during his reign from 958 to 986.|7d048ddf5b6a4cadba410fa332ed505e
vikings|raids down rhine river|In the years 881-884, Vikings conducted multiple raids down the Rhine River as far as Trier.|7d048ddf5b6a4cadba410fa332ed505e
viking settlements|lower rhine region|There were indications of Viking settlements on the lower Rhine, though they no longer exist today.|7d048ddf5b6a4cadba410fa332ed505e
king|morning|The king made an order at morning|4bfca48b0b3d4d87b20cbaddfb8d7ebf
heavy piece of iron|fire|The heavy piece of iron was heated in the fire|4bfca48b0b3d4d87b20cbaddfb8d7ebf
cleric|catholic faith|The cleric carried the glowing iron for his catholic faith|4bfca48b0b3d4d87b20cbaddfb8d7ebf
confessor of christ|unharmed hand|The Confessor of Christ showed everyone his unharmed hand as proof of catholic faith|4bfca48b0b3d4d87b20cbaddfb8d7ebf
king|christianity|As a result, the king became a Christian and decreed that God alone was to be worshipped|4bfca48b0b3d4d87b20cbaddfb8d7ebf
harald bluetooth|defeat from otto the great|According to Adam von Bremen, Harald Bluetooth suffered a terrible defeat from Otto the Great.|4bfca48b0b3d4d87b20cbaddfb8d7ebf
danevirk|jutland peninsula|Harald Bluetooth reenforced Danevirk, which stretches across Jutland peninsula.|4bfca48b0b3d4d87b20cbaddfb8d7ebf
prussian troops|danevirk|In 1864, Prussian troops overran Danevirk in one of Europe’s most pointless wars.|4bfca48b0b3d4d87b20cbaddfb8d7ebf
surrounded christian powers|christian states|enclosed by|bd824523e4cd46c69c07e2d108075214
inferior strength|options of surrender or trade|limiting the choices available due to weakness|bd824523e4cd46c69c07e2d108075214
surrender|trade south as slaves|alternative options under consideration|bd824523e4cd46c69c07e2d108075214
simmering hatred|waiting, hoping and praying for empire weakening|emotional state leading to a desire for change|bd824523e4cd46c69c07e2d108075214
empire weakening|regain freedom|desired outcome that could lead to liberation|bd824523e4cd46c69c07e2d108075214
next week events|outcome of the mentioned situation|future anticipation related to current circumstances|bd824523e4cd46c69c07e2d108075214
participant|host (implied)|invitation for future engagement|bd824523e4cd46c69c07e2d108075214
